T 階段,功能 ID,功能名稱,領域,一句話說明,今天的狀態,依賴功能 ID,依賴功能名稱,為何不能更早,做完之後解鎖什麼,前提條件,變現角色,工量,被哪些功能依賴
T0,story-scripts-zh,中文導覽腳本庫,內容,15 篇自製景點故事，每篇都有 30 秒版與完整版，每句話都有年代、人名或摸得到的東西。,已完成,,,不必等。,播放器不是空殼；也是之後翻譯、配音、查核的原始素材。,15 篇只覆蓋 80 個景點中的 15 個，覆蓋率決定使用者到現場會不會打開 App。,留存,L,史料查核與出處揭露 | 真人配音音檔 | 多語導覽（英／日）
T0,image-slot-system,圖片槽位與 AI 標示機制,內容,每個景點預留實景照與 AI 歷史情境圖兩種槽位，AI 圖強制掛『✨ AI 情境重現』，沒圖時畫版畫插圖而非假照片。,部分完成,,,機制已完成，但 12 個槽位 0 個有檔案。,照片一進來就自動出現在卡片、景點頁與探索頁，不用改任何畫面程式碼。,照片與生成圖本身（T2），以及先簽好授權。,留存,M,實景照片 | AI 歷史情境圖
T0,poi-descriptions,景點介紹與故事入口,內容,景點都有文字介紹；有故事的在卡片、故事分頁、時間軸、街頭模式四處都看得到耳機標記。,已完成,,,不必等。,使用者在四個情境都能被導向故事，不必先知道有這個功能。,無。,留存,M,
T0,story-audio-player,語音導覽播放器,內容,播放、暫停、±10 秒跳句、字幕跟著唸到的那句亮起，沒語音自動降級成同步字幕。,已完成,,,不必等，用瀏覽器內建語音合成，不需後端。,之後所有音檔、離線、多語都掛在這個播放器上。,無。,留存,L,抵達自動偵測與播報 | 真實播放數與收藏
T0,discovery-surface,探索與目的地頁,探索與規劃,打開 App 就看到現在該去哪，能搜尋、切換清單與地圖、進城市頁看推薦景點美食與故事。,已完成,,,不必等，這是整個產品的入口，今天就跑得動。,使用者第一次能找到一個具體地點，後面所有規劃動作才有起點。,靠 80 筆手寫景點與 12 個城市撐住，要上線需換成可持續更新的真實資料。,變現前提,L,
T0,poi-detail,景點詳情頁,探索與規劃,介紹、用真實距離算出的 8 公里內附近景點、只有真的售票才顯示買票、一鍵交棒導航。,已完成,,,不必等，今天可從搜尋與目的地頁走到。,有了單點頁，才談得上加進行程、收藏它、或從它買票。,每個景點需要真實介紹、圖片與售票事實查核；12 個圖片槽位今天全空。,直接變現,M,收藏清單
T0,trip-timeline,行程時間軸,探索與規劃,一趟旅程的總覽與每一天：幾點到哪、待多久、下一段用什麼交通、走幾分鐘幾公尺。,已完成,,,不必等，四趟手寫行程已可完整呈現。,這份行程資料就是 MODEL B 的全部前提——知道是誰、第幾天、會走過哪裡。,四趟行程全是 fixture，合計 44 個停留點；真實使用者的行程必須能被生成與儲存。,變現前提,L,行程真實日期 | 行程編輯 | 行程雲端同步 | 多城市行程 | 行程預算
T0,nav-handoff,導航交棒,旅途中,按『前往赤崁樓』直接開 Google Maps，交通模式沿用行程上那一段。,已完成,,,不必等。,不必自己做轉彎導航，省掉一整個產品的工作量。,無。,無,S,
T0,adapt-engine,行程調整引擎,旅途中,出狀況時把行程往後推、拿掉一站或換一站，並算出真的省下幾分鐘幾公尺。,已完成,,,不必等，是純演算法，用位移而非重算，換點後會重測前後路段。,只要餵得進真實訊號，就能產出使用者看得懂、時間不自相矛盾的改動方案。,只有 3 份寫死腳本，且必須由使用者手動觸發——行程日頁的「行程有變？讓 AI 幫你改」或 Demo 情境面板都可以（開場聚焦的是花蓮行程，不碰 Demo 面板就能觸發 hualien-rain）；要出現第 4 種情況必須有外部資料，引擎本身不用重寫。,變現前提,S,異常自動偵測 | 跟 AI 說一句
T0,today-mode,街頭今日模式,旅途中,出發後打開就看到下一站、幾點到、怎麼走，不用滑整份行程。,部分完成,,,畫面已完整，但冷啟動不可達——唯一入口只在行程進行中時出現，必須先從 Demo 情境面板叫出台南行程。這是全 App 唯一真的非 Demo 面板不可的路徑。,旅途中所有即時功能都掛在這個畫面上：抵達提示、調整卡、情境優惠都有了位置。,行程要有真實日期才會自動進入（T1 補上）。,留存,M,抵達自動偵測與播報 | 異常自動偵測 | 途中情境優惠 | 離線行程包與鎖屏播放
T0,group-room-ui,共識房投票畫面,社交協作,一個房間看得到四個人、誰還沒填偏好、十個候選各幾票、以及最後的建議。,部分完成,,,畫面已完成，缺口是它讀的房間資料是手寫 fixture，投票不會回寫。,有一個可以真的接上真人資料的容器。,投票回寫（T1）與雲端房（T3）。,留存,M,投票即時生效
T0,consensus-engine,共識計算引擎,社交協作,把四個人的投票變成：哪幾個沒人反對、哪幾個還在吵、以及一個可驗證的換點建議。,已完成,,,不必等，是純函式，只吃票數與座標。,任何多人決定的畫面都有可信數字，不必靠硬寫死文案假裝有 AI。,無，換點建議由已同意地點的地理質心算出，理由可在地圖上驗證。,留存,S,投票即時生效 | 分頭行動建議
T0,expense-split-engine,分帳結算引擎,社交協作,從收據算出每個人付了多少、該分多少、誰轉給誰，餘額一定歸零。,已完成,,,不必等，純函式，只吃收據陣列。,旅費可從單機記帳升級成多人記帳，引擎不用重寫。,無。均分餘數逐元分配、貪婪最少筆結算皆已完成；旅費頁的「＋ 記一筆」存檔後總支出、餘額與結算建議即時重算。,留存,S,多人記帳同步
T0,commercial-disclosure,商業揭露聲明,變現,每個會賺錢的畫面都掛『價格為示意、與各平台無合作關係』，付費置頂一律標『贊助』。,已完成,,,不必等，聲明常數已被七個畫面引用（優惠、目的地、景點、服務、門票比價與商品、行程時間軸，以及外導交棒 sheet）。,讓 App 可以放商業內容而不會被指控假冒合作，也不會讓廣告混進推薦。,接上真實聯盟後要改寫成『本頁含聯盟連結，可能因此獲得分潤』並依薦證廣告規定重審全部文案。,變現前提,S,贊助版位 | 在地商家核銷
T0,business-model-screen,商業模式與模擬漏斗畫面,變現,從 我的 → Demo：商業模式 打開，說明 MODEL A／MODEL B 兩條路徑，並用本機模擬點擊畫出曝光／點擊／前往／預訂／佣金五段與各平台、各類別、各目的地拆解。,部分完成,,,不必等，今天就會渲染，而且是投資人最常看的一張畫面；先前的版本沒有任何 feature 承認它存在，讀 T0 的人會誤以為它還沒做。,MODEL A 與 MODEL B 的差異第一次有一個可以指著講的畫面，也預先定義好了營收後台的版面形狀。,每段數字都掛 Demo Data 標記，資料只來自這台裝置的 localStorage，換裝置歸零；要變成真的營收數字必須等伺服器歸因（T3）與佣金對帳（T4）。,變現前提,M,
T0,affiliate-outbound-ui,外導交棒流程,變現,商業卡片按下去，先說清楚會離開 ResoMap、要去哪個平台，再把人交出去。,已完成,,,不必等。,之後每一種變現都能掛在同一個交棒畫面上，不必各做一套。,目前按下前往不會真的開啟平台，只顯示模擬畫面。,變現前提,S,真實深連結外導
T0,outbound-tracking,外導漏斗追蹤,變現,曝光、點擊、前往平台、成交與佣金五段全部記下來，可分平台、分類別、分目的地。,已完成,,,不必等，23 種事件欄位已定義。,事件形狀先定好，之後換成伺服器端只是換儲存位置，畫面完全不用重做。,只寫進本機瀏覽器，換裝置或清快取就歸零，公司這邊一筆都讀不到；成交與佣金兩段是模擬的。事件命名一旦上線就要凍結，之後改欄位會斷掉歷史。,變現前提,S,事件資料管線 | 點擊歸因與同意
T0,service-entries,旅遊服務入口,變現,門票、住宿、交通、租車接送、eSIM、旅平險做成固定入口，任何人打開都看得到。,部分完成,,,入口已可點，但機票刻意留空、優惠券永遠空。,MODEL A 成立——不依賴行程資料的基礎流量收入。,機票需另外申請聯盟或串比價來源；優惠券需有屬於使用者的折扣碼可發。,直接變現,M,
T0,context-deal-ranking,行程情境推薦,變現,優惠卡直接寫理由：『你已加入 Day 2』『你這趟要去台南』，說不出理由的排到最後。,已完成,,,機制已完成，但只讀得到手寫的四趟行程。,MODEL B 的實作證據，同一批商品因為知道行程而值得更好的版位。,使用者自建行程的停留點是空的，所以最強的「你已加入 Day N」理由印不出來，只剩城市層級的「你這趟要去◯◯」（只比對目的地代碼與聚焦行程的城市）；要真發揮作用得等行程生成（T3）。,直接變現,M,缺住宿提醒
T0,price-comparison,跨平台比價,變現,同一張門票列出各平台價格，並列出所有並列最低價的平台，不只挑一個。,部分完成,,,19 個商品、43 筆報價已可比，但全部是手寫示意價。,比價是使用者願意停在 ResoMap 而不直接開平台的少數理由之一。,沒有真實價格來源之前，畫面絕不能出現『即時最低價』，每一筆價格都必須當場標示為示意值。,直接變現,M,
T1,content-licensing,內容授權與揭露規範,內容,把旁白、攝影、AI 生成圖的授權與署名寫成合約與檔案欄位，每則內容都知道能不能商用。,未開始,,,零依賴，是法務與流程工作，不需要任何程式先存在；但後面每一項影像與聲音工作都卡它。,照片、配音、AI 圖、投稿內容才敢正式上架商用。,旁白授權書範本（15 篇故事有 15 位不同敘事者，範本必須能重複用）、攝影授權條款、生圖服務商用條款確認、AI 生成標示規範明文化。,變現前提,M,實景照片 | AI 歷史情境圖 | 真人配音音檔 | 故事覆蓋率擴充 | 在地導覽員投稿
T1,pwa-shell,PWA 與離線基礎,基礎建設,可以把 ResoMap 加到手機主畫面，收訊不好時行程與地圖也還打得開。,未開始,,,零依賴——已是 HTTPS 靜態網頁，補上安裝設定檔與離線快取即可；而且它同時是獲客鏈的第一節（一個可分享、可被聯盟審核的公開網址）。,街頭模式在地下街、山區、國外沒網路時仍可用；也是推播、商店上架與聯盟送件的前置。,各尺寸 App 圖示；離線快取取捨清單。地圖圖磚不能大量離線快取，OpenStreetMap 使用政策不允許。,留存,M,原生 App 與商店上架
T1,backend-db,後端服務與資料庫,基礎建設,一個真的伺服器與資料庫，讓資料不再只是寫死在程式檔案裡。,未開始,,,沒有前置依賴，所以必須立刻開工——它是三條主要依賴鏈共同的根，晚一天整組就晚一天。,帳號、雲端同步、內容後台、資料分析、LLM、推播、金流，幾乎所有東西。,雲端服務帳號與月費預算、資料模型設計（現有型別檔可直接當結構起點）、部署與備份流程。,變現前提,XL,使用者帳號登入 | 隱私與個資法遵 | 景點資料庫 | 真實路線與交通時間 | 天氣與即時資料源 | 事件資料管線 | 行程雲端同步 | 雲端共識房 | LLM 代理層 | 點擊歸因與同意 | 推播通知 | 實驗與遠端設定 | 金流與付款 | 真實價格與庫存 | 真實播放數與收藏 | 站內下單與票券
T1,crash-monitoring,錯誤與崩潰監控,基礎建設,有人用到白畫面或閃退時我們自己先知道，不用等使用者回報。,未開始,,,零依賴，今天就能動手，而且真人測試與對外 demo 前就該有。,出事有完整堆疊可查，不必請使用者再重現一次。,一個免費方案的監控帳號；送出的錯誤內容不得夾帶行程、位置、同行者等個資。,留存,S,
T1,opening-hours-feed,營業時間資料,探索與規劃,每個景點今天幾點開、有沒有公休、有沒有臨時休館，而且是今天正確的。,未開始,,,零依賴——80 個景點人工整理約一個人兩天即可起步，不必等景點資料庫。,行程能避開閉館；『臨時休館』這種調整情境才成立；也是可行性檢查的前置。,要選定來源與更新頻率承諾（政府開放資料更新慢、Google 條款限制快取、商家自報需後台）；需處理週一公休慣例與農曆節日。今天景點型別裡完全沒有這個欄位。,變現前提,M,行程可行性檢查 | 異常自動偵測
T1,real-trip-dates,行程真實日期,探索與規劃,讓使用者真的選出發與回程日期，每一天是真的日期與真的星期幾。,未開始,trip-timeline,行程時間軸,日期是掛在行程物件上的欄位，得先有行程資料結構；今天日期是寫死字串，日曆是不能點的裝飾圖。,知道那天是不是週一公休、查得到那天天氣、能推『你 8/22 要用的票』，也讓街頭模式能自動進入。,無外部前提，純資料型別與日曆元件工作。,變現前提,S,AI 行程生成 | 行程可行性檢查 | 匯入外部行程
T1,itinerary-editing,行程編輯,探索與規劃,刪點、拖曳換順序、改抵達與停留時間，而不是只能一直往當天最後面加。,未開始,trip-timeline,行程時間軸,要先有停留點的資料結構才談得上修改；今天全 App 沒有任何刪除、排序或改時間的入口（加入景點在 T0 已經可以，而且加完會即時重算距離與交通分鐘）。,行程從唯讀示範變成使用者自己的東西，也讓生成的行程可被修正而非整份重來。,無。,留存,M,保護訂位重排
T1,location-permission,定位權限與藍點,旅途中,詢問是否開啟定位，開了之後地圖出現『你在這裡』，距離從距地圖中心變成距離你。,未開始,,,零依賴，而且是抵達偵測、附近推薦、自動調整全部的最底層一步。,抵達偵測、真實 ETA、異常自動偵測、天氣格點查詢才有辦法開始。,權限說明文案、隱私權政策頁；藍點程式碼已寫好但沒有任何呼叫端傳值，接上即可用。,變現前提,S,天氣與即時資料源 | 抵達自動偵測與播報 | 異常自動偵測 | 背景定位
T1,live-room-state,投票即時生效,社交協作,你按了不想去，共識分數與建議當場改變——現在按了不會變。,未開始,consensus-engine | group-room-ui,共識計算引擎 | 共識房投票畫面,要先有畫面收得到票、引擎算得出結果，才談得上把票寫回去重算。這是唯一不需要後端就能修掉的核心謊言。,使用者投票會改變共識第一次變成真的，也是雲端共識房搬遷前必須先做對的一步。,純前端改動：房間資料改成 App 層狀態，投票與偏好儲存寫回同一份，移除共識計算的空依賴陣列。,留存,M,分頭行動建議 | 雲端共識房
T1,affiliate-accounts,聯盟帳號申請,變現,到各平台的聯盟計畫申請帳號，拿到追蹤代碼與連結產生規則，整理成對照表。,未開始,,,零依賴、零工程量，但審核要等且可能被拒，所以越早送件越好。,從這一刻起外導才可能帶回錢；深連結、對帳、營收後台全部卡在這裡。,必須為真：可收款的稅務身分、可供審核的公開網址（由 pwa-shell 提供）、逐一通過各平台個別審核。這是申請加入公開計畫，不是合作，也可能被拒絕；被拒時備案是先累積流量再重送，代價是首次收入往後推一整階。,變現前提,S,真實深連結外導 | 佣金回傳對帳 | 真實價格與庫存
T2,ai-scene-images,AI 歷史情境圖,內容,沒人拍過的年代用生成影像重現，永遠掛『✨ AI 情境重現』標籤。,未開始,image-slot-system | content-licensing,圖片槽位與 AI 標示機制 | 內容授權與揭露規範,標籤機制已存在，但生成圖的商用授權必須先確認。,故事從『聽』變成『看得到你腳下這條街以前是運河』；也是海外景點在沒有攝影供給前唯一誠實的影像來源。,生圖服務商用授權、每張圖的史實依據（建築形制、服飾、地貌不能亂畫）、絕不冒充真實照片的明文規範。,留存,M,
T2,story-sourcing-factcheck,史料查核與出處揭露,內容,每篇故事加上參考出處與查核紀錄，播放器下方可展開看這些說法從哪來。,未開始,story-scripts-zh,中文導覽腳本庫,要先有稿子才有東西可查；今天故事型別沒有出處欄位，也沒有查核流程。依賴在 T0 就已滿足，最早可在 T1；排在 T2 是因為文史顧問預算與 pro-narration-audio 同批啟動，屬排序選擇而非依賴限制。,內容規模化才安全——沒有查核流程，從 15 篇擴到 300 篇就是把錯誤放大 20 倍。,文史顧問人力（以每篇查核 4 小時計）、出處資料庫、一份『不確定年代就不寫年代』的編輯守則。,留存,M,故事覆蓋率擴充
T2,poi-photography,實景照片,內容,景點真實照片，讓使用者到現場能認出建築；先補台南 8 個槽位。,未開始,image-slot-system | content-licensing,圖片槽位與 AI 標示機制 | 內容授權與揭露規範,槽位機制決定尺寸與掛載方式（已完成），授權決定拍完能不能商用上架（T1）。,App 第一次有真實影像，卡片、探索頁、景點頁同時升級——這是對投資人說服力提升最大、成本最低的一項。,攝影排程（8 個台南槽位約一個下午，一次性成本約 NT$3–5 萬）、可商用授權、壓縮與命名規範。禁止 stock photo。海外 26 個景點（東京、大阪、京都、首爾）無法自行拍攝；在有攝影供給前一律只用版畫插圖或標示『✨ AI 情境重現』的情境圖，絕不以 stock photo 假冒實景。若要真實照片，必須先編列授權圖庫預算或在地攝影合作並取得報價。,變現前提,M,旅後行程分享頁
T2,pro-narration-audio,真人配音音檔,內容,用錄好的音檔取代瀏覽器合成語音——同一個播放器，但每支手機聽起來都一樣。,未開始,story-scripts-zh | content-licensing,中文導覽腳本庫 | 內容授權與揭露規範,要先有定稿腳本才進錄音室，要先有授權才能商用；不需要後端，音檔可與前端一起靜態發布。,離線收聽、鎖屏播放、精準字幕時間軸全部變成可能（瀏覽器合成語音三件都做不到），也是外語配音的流程原型。,旁白者（現有 15 篇分別署名 15 位不同敘事者，每篇都要各自談授權與錄音，人力與授權成本是 15 份而不是 8 份）、錄音後製、可商用授權書、音量標準化規範。,留存,L,離線行程包與鎖屏播放 | 多語導覽（英／日）
T2,analytics-pipeline,事件資料管線,基礎建設,使用者做了什麼會回到公司這邊彙整，變成看得懂的營運數字。,未開始,backend-db | outbound-tracking,後端服務與資料庫 | 外導漏斗追蹤,23 種事件的欄位定義已經寫好了，缺的是收件端與存放的地方，所以只需等資料庫。,真的知道有多少人用、卡在哪一步流失；也是伺服器歸因、實驗與分潤對帳的前置。,事件命名規範凍結（之後改欄位會斷掉歷史）、保存期限政策、每筆事件是否帶使用者 ID 的隱私決定。,變現前提,M,點擊歸因與同意 | 實驗與遠端設定 | 營收後台 | 贊助版位 | B2B 資料授權
T2,user-accounts,使用者帳號登入,基礎建設,用 LINE 或 Google 登入，換手機後行程還在。,未開始,backend-db,後端服務與資料庫,身分是一筆要長期保存的資料，不是前端狀態；沒有資料庫就沒有地方存人。,雲端同步、跨人共識、偏好保存、AI 成本綁人頭上限、金流、商店上架、伺服器歸因。,LINE Login／Google／Apple 開發者帳號與審核。台灣以 LINE 為主是必選項；Apple 規定提供第三方登入就必須同時提供 Apple 登入。,變現前提,L,行程雲端同步 | 雲端共識房 | 內容資料庫與後台 | LLM 代理層 | 點擊歸因與同意 | 原生 App 與商店上架 | 收藏清單 | 推播通知 | 金流與付款 | 行程範本市集 | 真實播放數與收藏 | 在地商家核銷 | 在地導覽員投稿
T2,privacy-pdpa,隱私與個資法遵,基礎建設,隱私權政策、同意機制，以及使用者要求刪資料時真的刪得掉。,未開始,backend-db,後端服務與資料庫,政策文本可以先寫，但同意紀錄要存得下來、刪除請求要執行得了，兩件事都需要資料庫。,可以合法收集位置與行程資料；商店隱私標籤填得出來；商業洽談對方會要求看這些文件。,個資法告知同意條款、隱私權政策與服務條款、個資安全維護作業。行程含位置與同行者名單，敏感度高，需法律專業審閱。,變現前提,M,點擊歸因與同意 | 原生 App 與商店上架 | 金流與付款
T2,poi-database-backend,景點資料庫,探索與規劃,把 80 筆手寫景點搬進資料庫，讓程式與 API 讀得到、可擴充到更多城市（給非工程師用的編輯介面由 content-cms 負責）。,未開始,backend-db,後端服務與資料庫,資料庫要先存在，才有地方放景點。,景點從 12 個城市擴出去；行程生成才有足夠的選擇池；預算估算才有價格欄位可讀。,資料來源與授權決策：政府開放資料可商用但需標示來源，OpenStreetMap 需同授權，Google Places 條款限制快取與再散布。本項只做資料模型、匯入與讀取，不含後台編輯介面。,變現前提,XL,AI 行程生成 | 內容資料庫與後台 | 行程預算 | 匯入外部行程
T2,external-data-feeds,天氣與即時資料源,旅途中,接氣象署與交通即時資料，讓『下午會下雨』是真的看到的，不是簡報時按下去的。,未開始,backend-db | location-permission,後端服務與資料庫 | 定位權限與藍點,金鑰不能放前端，同一格點的預報也不能每個使用者各打一次，必須有後端代理與快取；而且要知道該查哪一格的預報與哪一段路的即時路況，得先拿得到使用者位置（location-permission）。,雨天改室內這個最有說服力的腳本，從手動按鈕變成每天都可能自然發生。,中央氣象署開放資料金鑰（免費需申請）、TDX 帳號（免費需申請）；海外城市需另一來源；80 個景點只有 14 個標室內，替代池要先補齊。,變現前提,L,異常自動偵測
T2,arrival-detection,抵達自動偵測與播報,旅途中,人真的走到門口時自動跳出『你到了，要聽 30 秒還是完整故事』。,部分完成,location-permission | today-mode | story-audio-player,定位權限與藍點 | 街頭今日模式 | 語音導覽播放器,提示卡與雙剪輯已完成，缺的是『知道人到了』——沒有真實定位就只能靠人按 Demo 面板。,語音導覽從『要自己想到點開』變成『站在門口自動出現』，是播放量的真正來源。,每個景點的觸發半徑（市區 80–150 公尺、大型園區另設）、同站不重複、按稍後之後的靜默期。,留存,M,
